person_code,dr_cnt,person_name,person_pic_url,path_mean,link_cnt,person_en,d
1254095,2,손성준,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile28.uf.daum.net%2Fimage%2F152A653E4F45A50E04F419,2.28876905912979,52,fjaefcb,4
1774209,1,이하은,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile26.uf.daum.net%2Fimage%2F2671944A54ACC11E1A60CE,2.54295277054667,16,jacehhb,4
18551,2,호란,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile26.uf.daum.net%2Fimage%2F1919F4234BD94725736F4F,2.203607288955,81,bffib,3
19432,12,추소영,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F190C1F1349C1E2A76BCD0A,1.97155076236519,329,cdejb,4
716946,16,조우진,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Ft1.daumcdn.net%2Fcontentshub%2Fsdb%2F2c37fc5f8f67da3f6ba670e80d2612f4757e734e3763e55a11381e4d09900782,1.91595388620305,531,gejgbh,3
707946,1,김여진,http://img1.daumcdn.net/thumb/C216x216/?fname=https%3A%2F%2Fsearch1.daumcdn.net%2Fcontent%2Fsdb%2F58C0B5CC02400E0001,2.34213462253626,31,gejhah,3
19490,5,김승현,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile66.uf.daum.net%2Fimage%2F272E614B5954938310FF4C,2.12365191521012,113,ajejb,3
18270,17,정다빈,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile89.uf.daum.net%2Fimage%2F127E8D1A499B9B3CB2813D,1.93157307549275,466,ahcib,3
689396,2,황병윤,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile67.uf.daum.net%2Fimage%2F11524E484D2D2F8C0E18B9,2.20899962811454,71,gjdjig,3
2034591,4,손나래,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile168.uf.daum.net%2Fimage%2F214DEC4B579EB1040CC395,2.09594644849386,131,bjfedac,3
19337,1,오지명,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile128.uf.daum.net%2Fimage%2F144D740149867C388205E8,2.52212718482707,15,hddjb,3
64423,3,김영애,http://img1.daumcdn.net/thumb/C216x216/?fname=http%3A%2F%2Fcfile182.uf.daum.net%2Fimage%2F115D70014913D2535D1D89,2.07381926366679,131,dceeg,3
